episode,length,time,reward,delta
162,21.0,0.0024916503837175696,-12.100000000000001,-5.791966867823437
163,58.0,0.006376286220302063,-15.799999999999995,-4.368892790724725
164,30.0,0.0028827608766732737,-13.000000000000002,-3.932003511652252
165,123.0,0.01272017742985554,-22.299999999999972,-5.212770181041093
166,14.0,0.0015233556173370744,-11.4,-9.86825747458617
167,24.0,0.0030459211125162255,-12.4,-3.2996816116535665
168,14.0,0.0017141701307537005,-11.4,-6.760910378993344
169,77.0,0.009121170771550169,-17.69999999999999,-7.3554156
170,57.0,0.006955445798894289,-15.699999999999996,-3.986027181406701
171,12.0,0.0016963923810635606,-11.2,-9.263278304699424
172,29.0,0.0033840934177078452,-1.9000000000000012,0.74034
173,48.0,0.005451053114256865,-14.799999999999999,-3.886761247564838
174,4.0,0.0005598015843588655,-10.4,-9.451548021636974
175,16.0,0.001981231436957387,-11.6,-2.96971345048821
176,6.0,0.0011045908470350696,-10.6,-6.0848193410940095
177,8.0,0.0010721958365138562,-10.8,-7.832456824157051
178,11.0,0.001296195482609619,-11.1,-3.2511873224195753
179,13.0,0.0014585655962946475,-11.3,-3.538803160487027
180,48.0,0.005022016755447112,-3.799999999999999,0.6663060000000001
181,28.0,0.0038996481584945286,-12.8,-9.966824995168912
182,13.0,0.0014550100463566196,-11.3,-3.5874244632660313
183,48.0,0.005473966658428253,-3.799999999999999,0.5996754
184,31.0,0.003581623969694192,-13.100000000000001,-3.4980851228083543
185,19.0,0.0019796511926415405,-11.9,-3.1482766105275193
186,26.0,0.0027097241129467875,-12.600000000000001,-7.29
187,29.0,0.002923847231613763,-1.9000000000000012,0.53970786
188,47.0,0.004511202747835341,-14.7,-8.687686585597817
189,45.0,0.004382807888759999,-14.5,-2.833448949474767
190,24.0,0.0023537740582924016,-12.4,-6.943584462764862
191,51.0,0.004648684011954174,-15.099999999999998,-8.1
192,29.0,0.002586069987501105,-12.900000000000002,-3.2286820169394286
193,18.0,0.002312687703351912,-11.8,-2.5501040545272904
194,21.0,0.002564341626566602,-12.100000000000001,-2.2950936490745617
195,62.0,0.007334309397720062,-16.199999999999996,-3.184922844438324
196,15.0,0.0019796511926415405,-11.5,-2.672742105439389
197,23.0,0.002904884298459365,-12.3,-2.9058138152454855
198,42.0,0.004585869296306555,-14.200000000000001,-2.926068590177618
199,38.0,0.004423499182621526,-13.800000000000002,-2.0655842841671053
200,11.0,0.0013179238433167484,-11.1,-5.476337406984609
201,8.0,0.0009366898777898314,-10.8,-2.40546789489545
202,94.0,0.009620528006962559,-8.399999999999983,0.485737074
203,73.0,0.008323147341343429,-17.29999999999999,-9.9707338278
204,27.0,0.002883550998831197,-12.700000000000001,-2.866430559994492
205,44.0,0.005031893282875899,-3.4000000000000004,0.5322123804608
206,31.0,0.0038261667932601995,-13.100000000000001,-2.615232433720937
207,27.0,0.003196439393377659,-12.700000000000001,-7.732358788631373
208,88.0,0.01005391003832301,-18.799999999999983,-8.859409760576535
209,96.0,0.010236428268399322,-19.59999999999998,-2.3537091903488436
210,84.0,0.009546651580649268,-18.399999999999984,-8.890652442052652
211,20.0,0.0021981199831770937,-12.0,-9.198533232760411
212,96.0,0.01141410541958976,-19.59999999999998,-6.754183755439336
213,27.0,0.003229229464977834,-1.700000000000001,0.47899114241471996
214,42.0,0.005214806574031172,-14.200000000000001,-2.5797875039950426
215,32.0,0.0038131297767449723,-13.200000000000001,-1.859025855750394
216,125.0,0.014000965529476161,-22.49999999999997,-4.691493162936984
217,97.0,0.01053035373001876,-8.699999999999982,0.431092028173248
218,75.0,0.008715047956457056,-17.49999999999999,-4.222343846643286
219,46.0,0.005583003523042862,-3.5999999999999996,0.3879828253559232
220,112.0,0.011606500177322232,-10.199999999999976,0.34918454282033085
221,7.0,0.0007952580024266354,-10.7,-2.633461731159856
222,60.0,0.007565025082385546,-15.999999999999995,-6.249226016488377
223,85.0,0.009057565933744627,-18.499999999999986,-2.1183382713139594
224,19.0,0.0020780214074420655,-11.9,-2.3218087535955387
225,12.0,0.0015383679394744831,-11.2,-6.882475774167061
226,38.0,0.00415485763187462,-13.800000000000002,-3.8001094619789573
227,29.0,0.003109130889242806,-1.9000000000000012,0.31426608853829774
228,37.0,0.003862117353719441,-13.700000000000003,-1.9065044441825627
229,28.0,0.003390414395425978,-12.8,-2.164921105405905
230,40.0,0.00478695539823093,-14.000000000000002,-4.928703666286148
231,24.0,0.0028124400000706373,-12.4,-1.9484289948653153
232,33.0,0.003508932726617786,-13.3,-7.29
233,28.0,0.0036100683694257896,-12.8,-9.99
234,26.0,0.0032695256975330267,-1.600000000000001,0.9
235,25.0,0.00306488404544325,-12.5,-8.464740208396913
236,36.0,0.004705572810962622,-13.600000000000001,-6.1942281967503545
237,34.0,0.005025572305157766,-13.400000000000002,-2.4809075142479777
238,41.0,0.004850165175184884,-3.1000000000000014,0.282839479684468
239,21.0,0.0024675516560819233,-1.1000000000000005,0.37101950391563976
240,96.0,0.01036284782162511,-8.599999999999982,0.3705608513831128
241,34.0,0.003630216485589699,-13.400000000000002,-2.0896278782359845
242,11.0,0.0014241952801512525,-11.1,-8.592382157100584
243,51.0,0.005069029026572025,-15.099999999999998,-9.323490870979047
244,38.0,0.0040466108891905606,-13.800000000000002,-2.37011555804387
245,85.0,0.008784578710674396,-7.499999999999986,1.045176579932973
246,17.0,0.001766713257666197,-11.700000000000001,-2.9849132907946405
247,17.0,0.0017892317405312497,-0.7000000000000004,0.3701645755950095
248,41.0,0.004015006001054644,-3.1000000000000014,0.3331481180355085
249,63.0,0.006859050889261198,-5.299999999999994,0.81
250,19.0,0.0022072063886753313,-11.9,-9.971184
251,53.0,0.005488583919259327,-15.299999999999997,-1.8806650904123856
252,111.0,0.012210548605708027,-21.099999999999977,-10.0
253,9.0,0.001104195785956108,-10.9,-2.686421961715176
254,66.0,0.007461124012024811,-5.5999999999999925,0.2998333062319576
255,33.0,0.003925327130446021,-13.3,-9.0
256,30.0,0.003589525191728171,-2.0000000000000013,0.34669373752103483
257,34.0,0.004118512010109043,-13.400000000000002,-9.073522402659515
258,29.0,0.0035282907206237724,-12.900000000000002,-8.621041333821273
259,13.0,0.0016576763928242144,-11.3,-4.435833299657533
260,51.0,0.0065449773117052246,-15.099999999999998,-7.758937200439146
261,16.0,0.00195515740438168,-11.6,-3.274718083441022
262,16.0,0.001857972372590666,-11.6,-2.94724627509692
263,19.0,0.0023616752803263807,-11.9,-2.6525216475872284
264,147.0,0.01699592375962311,-24.699999999999964,-2.387269482828506
265,62.0,0.009989910139438507,-5.199999999999994,0.3120243637689314
266,25.0,0.003262019536578009,-1.5000000000000009,0.28082192739203826
267,47.0,0.005398509987571742,-14.7,-9.92499585237813
268,25.0,0.0036005869026212167,-12.5,-2.417779765543658
269,61.0,0.006055496603721622,-16.099999999999994,-6.078765379895403
270,38.0,0.0051978189464989555,-13.800000000000002,-6.9830434803952315
271,26.0,0.0028724892879381514,-1.600000000000001,0.2527397346528344
272,16.0,0.0016956022586782638,-11.6,-2.1331040022394827
273,47.0,0.005645028116532558,-14.7,-2.1485425345456557
274,27.0,0.0029933779858311027,-12.700000000000001,-6.561
275,46.0,0.005999397926871097,-14.6,-5.624303414839539
276,52.0,0.005869422823707282,-4.1999999999999975,0.2274657611875509
277,42.0,0.004387548622162285,-3.200000000000001,0.246530417666044
278,33.0,0.003397525495302034,-13.3,-5.061873073355585
279,30.0,0.0031924887823606696,-13.000000000000002,-2.176001788989292
280,78.0,0.010298847922740606,-17.79999999999999,-4.627643448947632
281,10.0,0.0013104176823617308,-11.0,-1.93368828109109
282,30.0,0.003678018879099909,-2.0000000000000013,0.22187737589943957
283,16.0,0.001989922781376663,-11.6,-8.634782352556696
284,4.0,0.0006095792837186309,-10.4,-1.7403194529819803
285,62.0,0.007219741677545244,-5.199999999999994,0.24170205277711576
286,98.0,0.0064086812308232766,-19.799999999999983,-1.9584016100903625
287,50.0,0.003277031858715418,-14.999999999999998,-4.1648791040528685
288,29.0,0.0019460709986560687,-1.9000000000000012,0.3706484650615586
289,8.0,0.0005941719005022605,-10.8,-1.566287507683782
290,35.0,0.0030380198904822464,-13.500000000000002,-8.501747342013255
291,29.0,0.003546068470541286,-12.900000000000002,-6.6334595077972045
292,55.0,0.0064742613740236266,-15.499999999999996,-1.4096587569154035
293,30.0,0.0035934758029725344,-13.000000000000002,-9.722400110617981
294,15.0,0.0018441452341448894,-11.5,-1.715853999764306
295,31.0,0.0035855745807111816,-13.100000000000001,-9.079626049335317
296,14.0,0.0017228614749456028,-11.4,-6.561
297,12.0,0.001549034589288567,-11.2,-1.9197936020155346
298,56.0,0.006097373080592661,-15.599999999999996,-8.99046
299,9.0,0.001114862435770192,-10.9,-8.171663444401785
300,50.0,0.005454213603115932,-3.9999999999999982,0.33358361855540275
301,75.0,0.006748038719024407,-6.499999999999989,0.30022525669986244
302,24.0,0.003608883185961531,-1.4000000000000008,0.27020273102987624
303,29.0,0.0032150072649983485,-1.9000000000000012,0.24318245792688864
304,51.0,0.004516733603168177,-4.099999999999998,0.21886421213419982
305,34.0,0.0022621198820615973,-13.400000000000002,-1.7625614490813266
306,23.0,0.0015751086220916477,-1.3000000000000007,0.19697779092077983
307,31.0,0.002102910257235635,-13.100000000000001,-1.2686928812238634
308,39.0,0.0025690823599688883,-13.900000000000002,-1.5442685997878751
309,65.0,0.0047818196039770555,-16.499999999999993,-9.793444732355395
310,21.0,0.0014344668688863749,-1.1000000000000005,0.1772800118287019
311,35.0,0.002332045697585272,-2.5000000000000018,0.1595520106458317
312,33.0,0.0021838977836523554,-2.3000000000000016,0.14359680958124854
313,34.0,0.0022522433544054365,-13.400000000000002,-3.9922499696917795
314,38.0,0.0025015269111463567,-2.800000000000002,0.12923712862312364
315,60.0,0.006219842022801458,-4.999999999999995,0.11631341576081122
316,33.0,0.003927697496919791,-13.3,-3.593024972722602
317,40.0,0.004729276477064559,-3.0000000000000018,0.729
318,56.0,0.005257473173287508,-4.599999999999996,0.10468207418473008
319,8.0,0.0009145664557763666,-10.8,-1.1418235931014777
320,7.0,0.0008549122292151878,-10.7,-1.0276412337913303
321,60.0,0.005962262183174971,-15.999999999999995,-8.5508430773873
322,22.0,0.0024999466668305104,-1.2000000000000006,0.6560999999999999
323,44.0,0.003248982520062782,-14.4,-2.498988892597051
324,20.0,0.0014064175304611126,-1.0000000000000004,0.18377477454002566
325,56.0,0.0039830060513850185,-15.599999999999996,-2.402342791571627
326,12.0,0.0015099235397428856,-11.2,-2.1621085124144646
327,7.0,0.0007940728191897506,-10.7,-0.9248771104121971
328,52.0,0.005234559629343494,-4.1999999999999975,0.16539729708602313
329,39.0,0.002679304407820382,-13.900000000000002,-5.993304954143814
330,54.0,0.005185176991290064,-15.399999999999997,-6.6811543549467745
331,41.0,0.004431005343576544,-3.1000000000000014,0.2725952326644858
332,26.0,0.0027342179014340218,-1.600000000000001,0.9541212756947515
333,28.0,0.0022399964602755063,-12.8,-2.249090003337346
334,19.0,0.001291059688128371,-11.9,-0.8323893993709781
335,43.0,0.004020931917693815,-3.3000000000000007,0.24533570939803728
336,79.0,0.0074749511506979616,-17.899999999999988,-0.7491504594338796
337,23.0,0.0023221691699291114,-12.3,-9.99456
338,28.0,0.002970069380808127,-1.8000000000000012,0.2208021384582336
339,33.0,0.0032572788034030964,-2.3000000000000016,0.19872192461241023
340,6.0,0.0007284926759894006,-10.6,-9.02153112687673
341,35.0,0.0029819212138590956,-2.5000000000000018,0.17884973215116917
342,10.0,0.0012088869784747658,-11.0,-1.9458976611730172
343,26.0,0.002795847433844756,-1.600000000000001,0.16096475893605222
344,52.0,0.00571021319888132,-4.1999999999999975,0.14486828304244703
345,23.0,0.001552590139226595,-12.3,-9.191923023774757
346,54.0,0.0035547598147331883,-4.399999999999997,0.13038145473820228
347,42.0,0.0034109575728962227,-3.200000000000001,0.11734330926438208
348,27.0,0.002604637859349168,-1.700000000000001,0.10560897833794392
349,28.0,0.002968489136264907,-1.8000000000000012,0.09504808050414948
350,35.0,0.0043934745385740825,-13.500000000000002,-1.7513078950557155
351,40.0,0.003999203556759312,-14.000000000000002,-6.013038919452097
352,10.0,0.0007395543868824461,-11.0,-9.001707533528464
353,37.0,0.0024481936623033107,-2.700000000000002,0.0855432724537345
354,30.0,0.00200295979789189,-13.000000000000002,-8.119378014189058
355,19.0,0.001296985604767542,-11.9,-9.46088356657623
356,31.0,0.002303206236774713,-13.100000000000001,-2.024181003003612
357,37.0,0.003152192549805477,-2.700000000000002,0.12390938740002666
358,22.0,0.0015423185504914727,-1.2000000000000006,0.11151844866002403
359,57.0,0.0037799446440658357,-4.699999999999996,0.10036660379402162
360,29.0,0.0019721450314591493,-12.900000000000002,-8.27273072139728
361,90.0,0.006948334699018233,-18.999999999999986,-9.956847
362,52.0,0.005138164719937777,-15.199999999999998,-10.0
363,33.0,0.0033900193343470164,-2.3000000000000016,0.09032994341461942
364,30.0,0.0030332791573073337,-13.000000000000002,-9.959049
365,61.0,0.005868632701549359,-16.099999999999994,-5.470888841905862
366,37.0,0.003693031201009944,-2.700000000000002,0.08129694907315743
367,56.0,0.00506784384333514,-4.599999999999996,0.07316725416584169
368,29.0,0.0019587129540923343,-12.900000000000002,-1.3898417398090874
369,41.0,0.0027350080238193186,-3.1000000000000014,0.06585052874925756
370,9.0,0.0006704186935166945,-10.9,-0.6742354134904911
371,10.0,0.0007387642644971493,-11.0,-7.307440212770152
372,32.0,0.002164144728340034,-2.2000000000000015,0.05926547587433184
373,44.0,0.00293214351449933,-3.4000000000000004,0.05333892828689868
374,30.0,0.0029582175475297845,-2.0000000000000013,0.13763338479476595
375,18.0,0.0018583674338970013,-11.8,-1.2508575658281789
