params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",8.663356976423529,10,-0.036144699985257274,-0.038888888888888896,-0.04761904761904764,-0.021428571428571446,0.008155680135409958
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",100.18143615773033,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.97856082400267,10,-0.033735248447204984,-0.03125000000000001,-0.052173913043478286,-0.021428571428571446,0.009558513645565923
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.519956906734706,10,-0.043869860807668734,-0.043552631578947384,-0.05769230769230771,-0.03125000000000001,0.008625448057155214
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.990964952549348,10,-0.038902123969343665,-0.04049707602339182,-0.052173913043478286,-0.021428571428571446,0.009221389447108812
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.544648225741184,10,-0.04367268505712444,-0.04880952380952383,-0.05769230769230771,-0.021428571428571446,0.011963486050010762
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.61776732007138,10,-0.038712369158189604,-0.03869969040247679,-0.054166666666666675,-0.02666666666666669,0.009390711098852964
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.550398340111315,10,-0.04112394957983194,-0.041456582633053234,-0.050000000000000024,-0.03125000000000001,0.007622847364620863
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.244001984786792,10,-0.03496612855668584,-0.03709150326797386,-0.04500000000000002,-0.021428571428571446,0.00691146355897742
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.599752138663234,10,-0.035449184021434675,-0.03327205882352942,-0.052173913043478286,-0.021428571428571446,0.010290524393573744
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.388464768845779,10,-0.041537868363719775,-0.03869969040247679,-0.05925925925925928,-0.02666666666666669,0.01105808894687794
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",83.77430633196036,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",11.502593181087377,10,-0.04035300761330174,-0.03327205882352942,-0.0738095238095238,-0.021428571428571446,0.015768952538256827
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.98703765011328,10,-0.04049415001146045,-0.04210526315789475,-0.062068965517241406,-0.021428571428571446,0.014282449545436034
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.39060481484671,10,-0.04485846152553977,-0.04880952380952383,-0.06333333333333337,-0.021428571428571446,0.013500199914273349
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.564178071422248,10,-0.0346778711484594,-0.03529411764705883,-0.054166666666666675,-0.021428571428571446,0.008990879650128403
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.357501459750893,10,-0.03960268317853458,-0.038888888888888896,-0.050000000000000024,-0.02666666666666669,0.006153256579395363
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.117301938090804,10,-0.03961295395351124,-0.04049707602339182,-0.050000000000000024,-0.02666666666666669,0.00768865393448051
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.005466855558552,10,-0.033313141923436054,-0.03327205882352942,-0.04761904761904764,-0.021428571428571446,0.008845550382567062
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.088381885026138,10,-0.04122604919160649,-0.04049707602339182,-0.054166666666666675,-0.02666666666666669,0.008330962450437615
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.071356726744852,10,-0.03882441744813868,-0.03529411764705883,-0.054166666666666675,-0.03125000000000001,0.0073874738584429585
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",120.83534248242177,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.242779665730723,10,-0.04124449112978526,-0.04194444444444446,-0.056000000000000015,-0.021428571428571446,0.011015008683484451
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.722073723142785,10,-0.04818234596152218,-0.04630952380952383,-0.060714285714285735,-0.038888888888888896,0.007361061869704387
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.978750058271544,10,-0.04261090081341462,-0.04049707602339182,-0.056000000000000015,-0.03125000000000001,0.007252100938514377
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.519404611311302,10,-0.03905373225098291,-0.03709150326797386,-0.060714285714285735,-0.021428571428571446,0.013688920370724294
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.265272469692718,10,-0.03643800063885204,-0.03529411764705883,-0.050000000000000024,-0.021428571428571446,0.008097618845200568
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",7.835026038477281,10,-0.03802551108162564,-0.038888888888888896,-0.050000000000000024,-0.021428571428571446,0.00750398862916073
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.058077932913875,10,-0.0333457490577056,-0.03125000000000001,-0.05769230769230771,-0.021428571428571446,0.012090595839201768
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.126047010691082,10,-0.03771414442970172,-0.038888888888888896,-0.050000000000000024,-0.021428571428571446,0.008712539033980338
"{""alpha"": 0.5, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.226086358777138,10,-0.046756782146252486,-0.04630952380952383,-0.05925925925925928,-0.03125000000000001,0.008573178727058367
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",100.84205141009147,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.189759700132981,10,-0.04126960517235119,-0.04210526315789475,-0.052173913043478286,-0.021428571428571446,0.0075349099512314775
